,ARIMAX
2007-11-20,0.08669097461350851
2008-05-22,0.12186600309325488
2008-11-19,0.12050888014623579
2009-05-22,0.1424127557372578
2009-11-19,0.11252838155045625
2010-05-24,0.10488413710177867
2010-11-19,0.09377862150595882
2011-05-23,0.08664727482212815
2011-11-18,0.12376690580450687
2012-05-22,0.0885469814679205
2012-11-21,0.08158524074216747
2013-05-24,0.08785092831761926
2013-11-21,0.10118842431396412
2014-05-27,0.08518649829379443
2014-11-21,0.08540911575960526
2015-05-27,0.08121260904618077
2015-11-23,0.10140865219899348
2016-05-25,0.08965797897519114
2016-11-22,0.08349412481319975
2017-05-25,0.08140974492055324
2017-11-22,0.07169937888529142
2018-05-25,0.09278467862513752
2018-11-23,0.08836676429132452
2019-05-29,0.1075428043352359
2019-11-25,0.08156729329835573
2020-05-28,0.18769459081550793
2020-11-24,0.14150929410211957
2021-05-27,0.10438991049559973
2021-11-24,0.09354045646397297
2022-05-26,0.11210903781487845
2022-11-25,0.08878486955938851
2023-05-30,0.08644260265758325
