Date,FCN,CNN,LSTM,STOCK_MARKET
2013-10-14,0.0,0.0,0.0,0.0
2013-10-15,-0.0004683085226337,0.14942802648236359,0.009197178911067189,-0.0076618266101666
2013-10-16,0.0042967609831805,-0.2378546500341704,-0.015002645991185786,0.0139278254202199
2013-10-17,0.0027928326651585,-0.087320465680599,-0.0016850310271995864,0.0073349985649651
2013-10-18,0.0016718730250042,-0.03318551795176739,0.0012140570438093842,0.0070616896882622
2013-10-21,-0.0009284632055326,0.009160360729152271,0.0006294665172693621,-0.0005494556867375
2013-10-22,0.0035232413289909,0.01283521416524001,0.0061487231794637495,0.0057037241336956
2013-10-23,-0.0002768892452156,0.006729008760962216,-0.002979563777383377,-0.0047145203870444
2013-10-24,-0.0003711067833895,-0.016529322085494774,-0.0007267938984787839,0.0038389701691512
2013-10-25,0.0003711067833895,-0.008368223563805788,0.0009465098851394915,0.0036067141782529
2013-10-28,-0.000463905002018,0.016667072354841075,0.004059450573646584,0.0007630929811739
2013-10-29,0.0012043557979657,0.0074850219820279396,0.004680175636157326,0.0050019280286948
2013-10-30,-0.0018527420339031,0.01773880776893991,-1.67864362439203e-05,-0.0058742239320803
2013-10-31,9.285840443329364e-05,0.007299330427783243,-0.0009091501507915505,-0.0029501027863583
2013-11-01,-0.0024168542157188,-0.03477970017177287,-0.007373081990288853,0.0013125191731448
2013-11-04,0.0010233427799475,-0.026708907554270946,-0.002680643490958309,0.0045787113778139
2013-11-05,-0.0029797288885911,0.0259556664538445,0.0031136710499508904,-0.0029411277646005
2013-11-06,0.0015846344740397,-0.046268882485249734,-0.008255282749576091,0.0026150051306741
2013-11-07,0.0007440877943949,0.0933709946085781,0.010881924332603897,-0.0133641001663962
2013-11-08,-0.0062528325999338,-0.07538071316748812,-0.008565064148093604,0.0132551705574348
2013-11-11,-0.0005623790572961,-0.029101534199428455,-0.005339863748576633,0.000652705704434
2013-11-12,-0.0003743369379041,0.022880680090794848,0.003490509561094096,-0.0015237756101624
2013-11-13,0.0026204153209175,-0.023679025452145803,0.00044259533108437395,0.0084600491819673
2013-11-14,0.0030793179816104,-0.012053225081079246,0.000820750866577413,0.0047408460448954
2013-11-15,0.0002798712610481,-0.014658268082212227,-0.0007018585384478155,0.0043975327268501
2013-11-18,0.0019538396387446,0.07199635025621563,0.013726008578042855,-0.0047199946213138
2013-11-19,-0.0026997337274181,0.0218959260159683,0.003144338812308793,-0.0029073373732027
2013-11-20,-0.0028004346251675,0.000746493145222006,-0.0020430391137384566,-0.0031322673399882
2013-11-21,0.0010281992741933,-0.05680727382431742,-0.00594725890333264,0.0089387094627699
2013-11-22,0.001399351202771,-0.03210545548557274,-0.003526013129785028,0.0049194932851017
2013-11-25,0.0007459912144849,0.04232166343097226,0.009019863250737142,-0.0010673728481807
2013-11-26,0.000279625907412,0.0015625360574935993,0.000936114099829828,0.0009610564632618
2013-11-27,0.0004652667601998,0.013183527343852539,0.004909507718358638,0.002876282065281
2013-11-29,0.0003722383626749,0.05398614290246045,0.011743996788177486,-0.0013837323606846
