Date,BTC-USD_close,ETH-USD_close,LTC-USD_close,XRP-USD_close,BTC-USD_open,ETH-USD_open,LTC-USD_open,XRP-USD_open,BTC-USD_return,ETH-USD_return,LTC-USD_return,XRP-USD_return,BTC-USD_std,ETH-USD_std,LTC-USD_std,XRP-USD_std,BTC-USD_momentum,ETH-USD_momentum,LTC-USD_momentum,XRP-USD_momentum
2017-12-29,14656.2001953125,753.5919799804688,245.5019989013672,2.214600086212158,14695.7998046875,740.3889770507812,250.3520050048828,1.4395699501037598,0.0033968323339585993,0.02223196771571434,-0.01787575998399049,0.43678223417289325,0.06943065752963375,0.06635315277706302,0.1052925964396347,0.14561335827316385,1.051660376873575,1.3484872217795099,2.819871609046484,9.182630892680852
2017-12-30,12952.2001953125,717.2570190429688,218.96299743652344,2.159019947052002,14681.900390625,753.8150024414062,245.08700561523438,2.1989998817443848,-0.123597794486912,-0.04941684006742797,-0.1144023353020156,-0.02541744869725404,0.07099323060127277,0.06586962367051995,0.10609032046679814,0.14529591914242326,0.9570755420319876,1.3968248982604594,2.6949480774628123,9.456162876961846
2017-12-31,14156.400390625,756.7329711914062,232.0959930419922,2.300570011138916,12897.7001953125,712.2119750976562,216.97500610351562,2.095099925994873,0.08890117328095215,0.05357620423186571,0.058248295138152884,0.06350253264644179,0.07135033458692258,0.06590485831344262,0.10613422705103255,0.1452572853246451,1.2266893439623234,1.4047621933911052,2.725260089799219,9.932709462120686
2018-01-01,13657.2001953125,772.6409912109375,229.0330047607422,2.3910300731658936,14112.2001953125,755.7570190429688,231.66600036621094,2.296020030975342,-0.03589997685241464,0.02080405991935308,-0.01328493044008816,0.038567342889018086,0.07076296570528122,0.06566121396540536,0.10565462208488163,0.1443635018872036,1.2953008281891387,1.5093242707365229,2.8815599674991685,11.116358619173196
2018-01-02,14982.099609375,884.4439697265625,255.6840057373047,2.4809000492095947,13625.0,772.3460083007812,228.99000549316406,2.3694798946380615,0.09258925971214182,0.13514465974787537,0.11007621068836837,0.036897151355554936,0.07065150227381728,0.06769721935152548,0.1062923652970085,0.1443486834518949,1.2840341358938727,1.792545877637151,3.164472034438118,11.194630214750685
2018-01-03,15201.0,962.719970703125,245.3679962158203,3.105370044708252,14978.2001953125,886.0,255.69500732421875,2.464099884033203,0.01450508605496914,0.08480341627994381,-0.041183220446666446,0.22451146791948906,0.07064850958463055,0.06803354847728081,0.10674471859547405,0.14640747387724837,1.290773461929699,1.8513967514599594,2.9146388481682974,13.799809986665121
2018-01-04,15599.2001953125,980.9219970703125,241.3699951171875,3.1966300010681152,15270.7001953125,961.7130126953125,245.47500610351562,3.117340087890625,0.025858428248032084,0.018730361673503282,-0.016428103354674484,0.028964244889930102,0.06969315481660886,0.06786080599695403,0.10691694011305128,0.14634404414713997,1.1323374777553084,1.9425571170698759,2.7818297966394545,14.010753654250315
2018-01-05,17429.5,997.719970703125,249.27099609375,3.0487101078033447,15477.2001953125,975.75,241.03399658203125,3.3008100986480713,0.11094452953729395,0.016979703746571317,0.032209636731529656,-0.04737854452301171,0.07053297533870552,0.06773642301350574,0.10628418076992306,0.14703690632520086,1.214200524885801,2.01495188273985,2.507884633492173,12.424113140876981
2018-01-06,17527.0,1041.6800537109375,296.4540100097656,3.0939700603485107,17462.099609375,995.1539916992188,249.76800537109375,3.021049976348877,0.00557837614383061,0.04311747852155179,0.17335145444737776,0.014736489731865365,0.07035037625096217,0.06775176380297641,0.10774121985533029,0.146928205023062,1.2735792194736106,2.133871293376437,3.3874263188535663,12.655028274462675
2018-01-07,16477.599609375,1153.1700439453125,288.45098876953125,3.377810001373291,17527.30078125,1043.010009765625,296.0530090332031,3.0929598808288574,-0.061740689989333575,0.10167986398366047,-0.027366908259327083,0.08777249548780164,0.07121110499289707,0.06860034471047004,0.10804155404547025,0.14687688387909953,1.1151838945252566,2.317405744235353,3.141810246091868,13.77432698829126
2018-01-08,15170.099609375,1148.530029296875,255.76300048828125,2.456209897994995,16476.19921875,1158.260009765625,287.7250061035156,3.363569974899292,-0.08267549955484554,-0.0040318206423908265,-0.12027395222996606,-0.31860810092458025,0.07249170977413569,0.06871211735470632,0.11006943639959653,0.15595297074190648,0.8876523416263173,2.2409013719674973,2.572642742951267,9.632207074903983
2018-01-09,14595.400390625,1299.739990234375,247.03700256347656,2.1017799377441406,15123.7001953125,1146.0,254.6060028076172,2.443459987640381,-0.038619922206656554,0.12368134760985772,-0.0347131029813621,-0.15583489485582824,0.07284398810874265,0.07014625035588816,0.11037671364944478,0.158570281080785,0.77978804292491,2.544133153266341,2.4190647643442635,7.802935059285664
2018-01-10,14973.2998046875,1255.8199462890625,250.51800537109375,1.9749200344085693,14588.5,1300.3399658203125,248.072998046875,2.1299099922180176,0.025562164635523743,-0.03437553404698246,0.01399266231357199,-0.06225666650396078,0.07276129011676057,0.07039769118683219,0.11009448332445028,0.15900072403632368,0.8551378891877406,2.48450737618992,2.577382495152662,7.466204590204818
2018-01-11,13405.7998046875,1154.9300537109375,229.36599731445312,1.9507999420166016,14968.2001953125,1268.0899658203125,251.52200317382812,1.9802099466323853,-0.11058116741362234,-0.08374892032199721,-0.0882118263975018,-0.012288393495455852,0.07478916893017112,0.07191116691125266,0.11126222962488566,0.1591698908730922,0.6242465511111164,2.0340837018232283,2.190389013929868,7.167161211452145
2018-01-12,13980.599609375,1273.199951171875,236.8560028076172,2.0432300567626953,13453.900390625,1158.2900390625,229.78700256347656,1.9404799938201904,0.04198319183702104,0.09749359549276626,0.032133404118249054,0.046292401688762475,0.07474109979432535,0.07232221144685778,0.11126702519823241,0.15912208248791254,0.7391466076784499,2.104109061697122,2.234703862042939,7.429097276792254
