Date,MTCH,AZO,PEP,XOM,COF,RVTY,GE,CDNS,FCX,EQR,XEL
2005-01-03,6.387365341186523,90.75,31.033430099487305,26.912635803222656,63.52478790283203,19.054309844970703,133.5308380126953,13.75,11.550533294677734,15.048333168029785,8.957225799560547
2005-01-04,6.2627458572387695,89.69999694824219,30.81234359741211,26.729957580566406,62.34983444213867,18.821409225463867,131.92514038085938,13.300000190734863,11.094222068786621,14.95494556427002,8.823017120361328
2005-01-05,6.213877201080322,90.29000091552734,30.848203659057617,26.59025764465332,61.72822952270508,18.260732650756836,131.12220764160156,13.3100004196167,10.966949462890625,14.475261688232422,8.723604202270508
2005-01-06,6.196770668029785,89.55000305175781,31.06926918029785,26.928752899169922,62.50143051147461,18.44188117980957,132.18052673339844,13.34000015258789,10.951435089111328,14.475261688232422,8.70868968963623
2005-01-07,6.257859230041504,89.7300033569336,31.33814239501953,26.751440048217773,62.12998962402344,18.433252334594727,131.3777618408203,13.279999732971191,11.056970596313477,14.411595344543457,8.65898609161377
2005-01-10,6.270077705383301,90.73999786376953,32.120845794677734,26.853527069091797,62.395286560058594,18.459125518798828,131.04928588867188,13.369999885559082,10.997991561889648,14.326693534851074,8.778281211853027
2005-01-11,6.216320514678955,90.41000366210938,31.947572708129883,26.783689498901367,62.22849655151367,18.10547637939453,129.18809509277344,13.569999694824219,11.03834342956543,14.161138534545898,8.808107376098633
2005-01-12,6.348270416259766,90.41000366210938,32.03123474121094,27.181272506713867,62.51657485961914,18.07959747314453,130.20993041992188,13.789999961853027,11.191527366638184,14.148408889770508,8.798166275024414
2005-01-13,6.118579864501953,90.41000366210938,31.618953704833984,27.1597843170166,62.19063186645508,17.898460388183594,128.5676727294922,13.449999809265137,11.335328102111816,14.275749206542969,8.88266658782959
2005-01-14,6.140571117401123,90.69000244140625,31.565176010131836,27.43916130065918,62.25125503540039,18.200363159179688,129.62600708007812,13.470000267028809,11.444742202758789,14.364897727966309,8.922435760498047
2005-01-18,6.086812496185303,91.25,31.95952796936035,27.670215606689453,62.86528015136719,18.18310546875,131.2317352294922,13.449999809265137,11.941792488098145,14.517717361450195,9.03675651550293
2005-01-19,5.989070892333984,91.16999816894531,32.282169342041016,27.428424835205078,62.23604965209961,17.78500747680664,129.33407592773438,13.15999984741211,11.61667537689209,14.526208877563477,9.001962661743164
2005-01-20,5.8962178230285645,90.2699966430664,31.99538230895996,27.251117706298828,59.62838363647461,17.828275680541992,129.07861328125,13.239999771118164,11.497881889343262,14.390364646911621,8.962199211120605
2005-01-21,5.722728252410889,90.02999877929688,32.00733184814453,27.10068130493164,59.42371368408203,17.966737747192383,128.20277404785156,13.079999923706055,11.672948837280273,14.309712409973145,8.967168807983398
2005-01-24,5.656754493713379,89.05000305175781,31.85197639465332,27.471416473388672,58.180503845214844,17.966737747192383,128.67713928222656,12.960000038146973,11.676076889038086,14.135672569274902,8.992022514343262
2005-01-25,5.734945774078369,89.62000274658203,31.89975929260254,27.578872680664062,58.41550827026367,18.191762924194336,130.28286743164062,13.039999961853027,11.510391235351562,13.842766761779785,8.927401542663574
2005-01-26,5.771599292755127,89.93000030517578,31.9117374420166,27.77766227722168,59.69660568237305,18.6071720123291,129.51658630371094,13.079999923706055,11.660444259643555,13.787586212158203,8.982080459594727
2005-01-27,5.6958489418029785,89.69999694824219,31.941604614257812,27.804529190063477,58.84003448486328,18.650434494018555,129.95443725585938,13.079999923706055,11.585417747497559,13.571091651916504,8.996989250183105
2005-01-28,5.793591022491455,88.55000305175781,31.798192977905273,27.546630859375,58.84003448486328,19.515893936157227,130.46536254882812,13.020000457763672,11.24154281616211,13.51166820526123,8.977109909057617
2005-01-31,5.920652389526367,89.25,32.08500671386719,27.72393035888672,59.34031677246094,19.896692276000977,131.8520965576172,13.329999923706055,11.507270812988281,13.388559341430664,9.041730880737305
2005-02-01,5.918210029602051,89.75,32.19255828857422,28.6212100982666,60.234840393066406,19.81014633178711,132.39950561523438,13.220000267028809,11.588543891906738,13.609293937683105,9.04670238494873
2005-02-02,5.891332149505615,91.5999984741211,32.347896575927734,28.975799560546875,59.484371185302734,20.2082576751709,132.29000854492188,13.489999771118164,11.772992134094238,13.583826065063477,9.011902809143066
2005-02-03,5.8644537925720215,93.3499984741211,32.46141815185547,29.292802810668945,59.446434020996094,19.7928409576416,131.63311767578125,13.550000190734863,11.682327270507812,13.481952667236328,9.081491470336914
2005-02-04,5.967080116271973,95.94999694824219,33.046939849853516,29.70651626586914,59.75728988647461,20.34672737121582,132.29000854492188,13.949999809265137,11.6072998046875,13.672966957092285,9.151082038879395
2005-02-07,5.901105880737305,95.27999877929688,32.6824951171875,29.765605926513672,59.5601692199707,20.476543426513672,132.21705627441406,13.949999809265137,11.479135513305664,13.672966957092285,9.006937026977539
2005-02-08,5.905993461608887,95.0199966430664,33.160465240478516,30.11656379699707,58.632755279541016,20.433271408081055,132.9468994140625,13.850000381469727,11.332202911376953,13.719664573669434,9.066583633422852
2005-02-09,5.835130214691162,93.87999725341797,32.855751037597656,29.986989974975586,58.26117706298828,19.888038635253906,131.7061767578125,13.619999885559082,11.225913047790527,13.872488975524902,8.967168807983398
2005-02-10,5.793591022491455,94.5,32.95733642578125,30.41893196105957,58.54174041748047,19.732261657714844,131.5602264404297,13.520000457763672,11.604172706604004,13.957383155822754,8.922435760498047
2005-02-11,5.876671314239502,94.93000030517578,32.92147445678711,30.294734954833984,59.45171356201172,19.879383087158203,132.21705627441406,13.710000038146973,11.904285430908203,13.978607177734375,8.90752124786377
2005-02-14,5.798477649688721,95.0,32.74223709106445,30.6834774017334,59.79296875,19.766878128051758,132.54550170898438,13.619999885559082,11.932415008544922,13.948898315429688,8.982080459594727
2005-02-15,5.8644537925720215,95.13999938964844,32.646636962890625,30.7320613861084,59.527557373046875,19.801498413085938,132.80093383789062,13.760000228881836,11.919916152954102,14.05077075958252,9.03675651550293
2005-02-16,5.510141849517822,95.08000183105469,32.586883544921875,31.57432746887207,59.62614059448242,19.965930938720703,132.18052673339844,13.600000381469727,12.245027542114258,14.101715087890625,9.05167007446289
2005-02-17,5.380636215209961,95.94000244140625,32.10292434692383,31.385364532470703,59.05739974975586,20.16498374938965,131.48716735839844,13.539999961853027,12.410712242126465,14.24179744720459,8.996989250183105
