Date,MTCH_RET,AZO_RET,PEP_RET,XOM_RET,COF_RET,RVTY_RET,GE_RET,CDNS_RET,FCX_RET,EQR_RET,XEL_RET
2005-01-03,,,,,,,,,,,
2005-01-04,-0.019703149411663956,-0.011637738102036721,-0.007149637902085004,-0.006810965590008156,-0.018669173578238052,-0.012298304069223054,-0.012097804127408907,-0.03327477454390504,-0.040307170151540284,-0.00622517999977612,-0.015096669797601603
2005-01-05,-0.007833675159989673,0.006555987416317244,0.0011631445805790896,-0.005240048449949075,-0.010019661815997338,-0.03024201287303052,-0.006104872290347174,0.0007516143647681162,-0.011538282789243848,-0.03260095017670883,-0.011331410188426538
2005-01-06,-0.0027567527601524144,-0.008229559873706549,0.007140680988217962,0.012649702031374055,0.012448089655993755,0.009871231560289573,0.008038843908072302,0.0022513879924068725,-0.0014156496190196322,0.0,-0.001711136396148838
2005-01-07,0.009809854231998871,0.0020080361359280374,0.008616761104284443,-0.006606291299987799,-0.005960647592720747,-0.0004680034782231779,-0.006091763453479615,-0.00450792798515387,0.00959054623279254,-0.004407987113653533,-0.005723705847873628
2005-01-10,0.0019505971779516518,0.011193051972030688,0.024669258552234563,0.0038088688337176713,0.004260939554607823,0.0014026305676888562,-0.002503370948485184,0.006754258613625108,-0.0053483814293469045,-0.005908636875085804,0.013682990505567982
2005-01-11,-0.008610573184544501,-0.003643329438640208,-0.005409014708257054,-0.002604072848078509,-0.0026766978816414877,-0.019344401366766295,-0.014304036744620774,0.01484806880345202,0.0036623070753840636,-0.01162298792594596,0.0033919633577186303
2005-01-12,0.021004225824955203,0.0,0.0026153060396896244,0.014735123930058602,0.004618680593289071,-0.001430363843815119,0.007878553514069964,0.01608223768115913,0.01378202897992864,-0.0008993182012093648,-0.0011292681606174249
2005-01-13,-0.03685237909865191,0.0,-0.012954770830560847,-0.0007908639276923424,-0.005227344015208857,-0.010069393748520117,-0.012692595633968295,-0.02496459717211552,0.012767222569947556,0.008960066171607828,0.009558481415536946
2005-01-14,0.003587732383847575,0.003092203124969828,-0.0017022536491544393,0.01023387608650772,0.0009743210304886674,0.016726850370595958,0.008198033962075968,0.001485918379420248,0.009606198801599408,0.006225334891216239,0.004467173288347226
2005-01-18,-0.008793208637484229,0.006155868082777793,0.012415863448739461,0.008385348296755968,0.009815330078900786,-0.0009486556600974971,0.012311295931368704,-0.001485918379420248,0.04251379305646763,0.01058221764978029,0.012731340853550321
2005-01-19,-0.016188254756637432,-0.000877116949750345,0.010044693678541439,-0.008776707434172693,-0.010059618175819907,-0.022137066224742874,-0.01456593898384373,-0.021797177564470527,-0.027602622985877456,0.0005847361190323141,-0.0038576904011198287
2005-01-20,-0.015625191893680057,-0.00992073339048627,-0.008923455506215205,-0.006485341395370714,-0.04280271203743169,0.0024298925113699354,-0.001977168617280256,0.006060618919367489,-0.010278763472373775,-0.00939566576790618,-0.0044269825494640536
2005-01-21,-0.029865439525210258,-0.0026622075608271345,0.00037340726813850367,-0.005535669039978597,-0.003438329246352012,0.007736427172203353,-0.006808441339444471,-0.012158193025531894,0.0151112647943199,-0.005620364648180498,0.0005543527228359935
2005-01-24,-0.011595342136281772,-0.01094489055570591,-0.004865563509929061,0.013587195180033707,-0.021143053832314962,0.0,0.003693288178397758,-0.00921664632861452,0.00026793852670259355,-0.012236924378457914,0.002767799705479135
2005-01-25,0.013727978528243145,0.006380495999142255,0.0014990307756117538,0.0039039338540183266,0.004031094014529835,0.012446759568311538,0.01240151905700948,0.006153859705557707,-0.014291825126832247,-0.020938731107907227,-0.007212425086966956
2005-01-26,0.0063709206264990215,0.003453053314932397,0.0003754229305910073,0.007182185490288706,0.021693755386175795,0.022578193406544766,-0.005899037423208853,0.0030627866230568124,0.012952068302475972,-0.003994203261506346,0.006106160615589218
2005-01-27,-0.013211562192789739,-0.0025608582769818256,0.0009354929110232391,0.0009667454350048565,-0.014452680728882505,0.0023223446265117076,0.003374953871508879,0.0,-0.006455064788645881,-0.015826720892982316,0.001658461115758847
2005-01-28,0.017014656762505576,-0.012903336350413852,-0.004499916340124255,-0.00931869166741972,0.0,0.04535976414179155,0.0039238640756131815,-0.004597668257259713,-0.030131120307513637,-0.004388292945693983,-0.002211999506075202
2005-01-31,0.021694333285862344,0.007874021967238853,0.008979376877600309,0.0064157158444353435,0.00846647129868483,0.019324293401790094,0.010573043303974572,0.023530456528217947,0.023362983923989944,-0.009153061854644928,0.007172631078504299
2005-02-01,-0.0004126004463096411,0.005586606708639863,0.0033464763350812277,0.03185210268575922,0.01496197586756054,-0.00435925318165209,0.004143095717489942,-0.008286273844749559,0.007037934398794743,0.01635237532809075,0.0005496887722209465
2005-02-02,-0.004551899827690775,0.02040322765362923,0.0048136812060475265,0.012312928891939467,-0.01253732008446029,0.01989706922667267,-0.0008273624053911632,0.02021779863049522,0.01579109137162238,-0.0018731120271104906,-0.003854076049331745
2005-02-03,-0.004572795711418998,0.01892459861992979,0.0035032523490370338,0.010880864300890636,-0.0006379703816445925,-0.020771012150245127,-0.004977905763706936,0.004437908149197423,-0.007730895800992954,-0.0075278734760901855,0.007692200064659538
2005-02-04,0.017348367235548112,0.027471337006051755,0.01787672013326924,0.014024576646603837,0.005215551325851386,0.027599777293654704,0.004977905763706936,0.029092933192540915,-0.00644301646615375,0.014068717056842761,0.007633689939147814
2005-02-07,-0.011117944247295064,-0.007007278412700657,-0.011089353425985493,0.0019871387773058302,-0.0033041408577805242,0.006359926107565528,-0.0005516092540469586,0.0,-0.011103109360798058,0.0,-0.01587706669846778
2005-02-08,0.0008279054844952949,-0.0027325518052299103,0.014518743287489144,0.0117217492467252,-0.015693544744273424,-0.0021154842545936248,0.005504858160809256,-0.007194234418336887,-0.012882596477356234,0.0034095053454028523,0.00660046530099212
2005-02-09,-0.012071094613112399,-0.012070018703552954,-0.009231561094523055,-0.004311692558211622,-0.006357549286883923,-0.027046046261885337,-0.009376288112762587,-0.016745967857338062,-0.009423716978820718,0.011077494502045315,-0.011025529251510235
2005-02-10,-0.007144271160078874,0.006582492773181237,0.003087090205786236,0.01430155635303354,0.0048040562707925005,-0.007863533546904389,-0.0011087653461423486,-0.007369187845872371,0.0331399786357931,0.006100958223769659,-0.0050010206258024326
