Date,FCN,CNN,LSTM
2013-10-14,0.0,0.0,0.0
2013-10-15,-0.0004683085226337,0.14942802648236375,0.008194244340965752
2013-10-16,0.0042967609831805,-0.2378546500341707,-0.01412524712385509
2013-10-17,0.0027928326651585,-0.08732046568059917,-0.0014851635426813897
2013-10-18,0.0016718730250042,-0.03318551795176756,0.0012154251529398717
2013-10-21,-0.0009284632055326,0.009160360729152292,0.0007237129036440195
2013-10-22,0.0035232413289909,0.012835214165239887,0.006368896414409618
2013-10-23,-0.0002768892452156,0.0067290087609623425,-0.0028046875520119103
2013-10-24,-0.0003711067833895,-0.016529322085494878,-0.0007694053518343177
2013-10-25,0.0003711067833895,-0.008368223563805862,0.0009185025445171769
2013-10-28,-0.000463905002018,0.01666707235484106,0.004167433997327157
2013-10-29,0.0012043557979657,0.007485021982027814,0.004859811228575451
2013-10-30,-0.0018527420339031,0.01773880776894004,-7.423160959672088e-05
2013-10-31,9.285840443329364e-05,0.00729933042778334,-0.0008493124438241884
2013-11-01,-0.0024168542157188,-0.0347797001717729,-0.007308201657375274
2013-11-04,0.0010233427799475,-0.026708907554271053,-0.002677276927693478
2013-11-05,-0.0029797288885911,0.0259556664538446,0.003256020728274999
2013-11-06,0.0015846344740397,-0.0462688824852498,-0.008403600586012064
2013-11-07,0.0007440877943949,0.09337099460857863,0.010961480902021193
2013-11-08,-0.0062528325999338,-0.07538071316748862,-0.00848878888914614
2013-11-11,-0.0005623790572961,-0.029101534199428486,-0.005502441748008194
2013-11-12,-0.0003743369379041,0.022880680090794914,0.0036352024127757074
2013-11-13,0.0026204153209175,-0.023679025452146084,0.0004978451203689208
2013-11-14,0.0030793179816104,-0.012053225081079387,0.0008187950475616918
2013-11-15,0.0002798712610481,-0.01465826808221238,-0.000604975267914087
2013-11-18,0.0019538396387446,0.0719963502562158,0.013632339778930507
2013-11-19,-0.0026997337274181,0.021895926015968428,0.003094389912617309
2013-11-20,-0.0028004346251675,0.00074649314522213,-0.0020897027882159033
2013-11-21,0.0010281992741933,-0.056807273824317876,-0.005912350775057985
2013-11-22,0.001399351202771,-0.032105455485572955,-0.003523026490451165
2013-11-25,0.0007459912144849,0.04232166343097231,0.009027424112462365
2013-11-26,0.000279625907412,0.0015625360574935783,0.000962266442265669
2013-11-27,0.0004652667601998,0.013183527343852417,0.004931578270630658
2013-11-29,0.0003722383626749,0.053986142902460524,0.01158718077065792
2013-12-02,-0.0038024773751041,0.037956561020653035,0.0069832920647075105
2013-12-03,0.0012166377577571,0.02223862679301764,0.0026177750079214857
2013-12-04,-0.0026217053188037,0.010256474082909185,0.0010611566577499345
2013-12-05,-0.0021582421916397,0.02552187671056145,0.002936575941846559
2013-12-06,0.001689719952707,-0.08942566848015553,-0.010315687176805593
2013-12-09,0.0012176470652702,-0.021995035785732822,-0.002717681390393246
2013-12-10,0.0015912869462981,0.03065934171228196,0.004321185782590153
2013-12-11,-0.0015912869462981,0.10305737811552557,0.013466456636449676
2013-12-12,-0.0014989930937856,0.007751969401577492,-0.00024156411870937316
2013-12-13,0.0004682905490254,0.014057756467989449,0.0025189956312939767
2013-12-16,0.0007502437690218,0.016986910505068082,0.008001977091904932
2013-12-17,0.0016848375087432,0.011166269811337818,-0.0003524777682692411
2013-12-18,-0.0004672420396456,-0.1609596732811149,-0.014420169637140963
2013-12-19,-0.0016862615196968,0.025045991145465796,0.0027428186739226613
2013-12-20,0.0016862615196968,-0.025770908090387547,0.0001496885867134836
2013-12-23,-0.0004684585685357,-0.05592213546507326,-0.0063534215523461165
2013-12-24,-0.0014054217551855,-0.04389422731126692,-0.0066334543449361235
