Date,LVGD,EW,UNLVGD
2013-10-14,0,0,0
2013-10-15,0.007327840507280993,0.034462224772657875,0.001836144495341445
2013-10-16,0.0003664830129527924,-0.052995433875078254,8.429455182180992e-05
2013-10-17,0.005100658526554543,-0.0206350656908264,0.0012712363683630467
2013-10-18,0.007164490602857218,-0.00468087078291695,0.0017925002862983683
2013-10-21,-0.0025730961695248104,0.0013487435641895999,-0.0006436105338207716
2013-10-22,0.016501693995624706,0.005229110729312725,0.004126230018501628
2013-10-23,-0.003689435324412774,-0.0034162511215199746,-0.0009232414648016272
2013-10-24,7.682778701495303e-05,-0.0031683614898793,1.953462558577408e-05
2013-10-25,0.003008787280518664,-0.0003230226448119253,0.000752733941918283
2013-10-28,0.000588464279094835,0.00520642965906725,0.00014792558590471437
2013-10-29,0.008139503632310915,0.0027478086408738497,0.0020360550111091025
2013-10-30,-0.008557064092002357,0.0032742716303404747,-0.0021398762320147084
2013-10-31,-0.0012107698337090883,-0.0010163369820805764,-0.00030353420178014386
2013-11-01,-0.009957033501844653,-0.012097245041537426,-0.00248945118267534
2013-11-04,0.004098855024666491,-0.0063604730668616,0.0010246543303019642
2013-11-05,-0.009218837909086598,0.004316598973398324,-0.002304623514206319
2013-11-06,0.002692562067463195,-0.010319368488050724,0.0006724434828356323
2013-11-07,0.0012007938413381343,0.018400597945346098,0.0002988380034203632
2013-11-08,-0.017134332488527262,-0.015703487501592023,-0.004279789089145127
2013-11-11,-0.004040416964221531,-0.006165204110388451,-0.0010081800890959169
2013-11-12,-0.0002248478595977885,0.003562783666654875,-5.711307521198469e-05
2013-11-13,0.012348331281907394,-0.0020594358730526745,0.00308782410693229
2013-11-14,0.012125026122659662,2.718610730354995e-05,0.003031249908206463
2013-11-15,0.002782948652988156,-0.00288936460855615,0.0006963863024900151
2013-11-18,0.00932621941840487,0.015625376363909375,0.002332345921438091
2013-11-19,-0.008695112940025548,0.0036747164645328755,-0.0021728076297652067
2013-11-20,-0.011137308396666448,-0.001097724570640825,-0.0027843463401559226
2013-11-21,0.004498404843297281,-0.008550478492341175,0.00112526005800434
2013-11-22,0.005028427725676526,-0.005662969150443751,0.0012575941915384378
2013-11-25,0.005526136496716499,0.010206498668556024,0.0013827933846877782
2013-11-26,0.001734053553298591,0.000602831994694,0.00043375547971791727
2013-11-27,0.004852102544552496,0.0041312690422429,0.0012143320495158552
2013-11-29,0.005248046272324197,0.0131456899131439,0.001314116190406275
2013-12-02,-0.009971383083849223,0.007711074285738976,-0.002489974336440407
2013-12-03,0.0030275167545265073,0.00636837760404305,0.0007554149432694672
2013-12-04,-0.008299216625368732,0.00204737187252745,-0.0020725798345723537
2013-12-05,-0.0064307964892600655,0.00482323293046085,-0.0016078133734622247
2013-12-06,0.004146076306341963,-0.01848818878956385,0.0010372373483839843
2013-12-09,0.0032533213566713903,-0.005511274280796225,0.0008136130862694468
2013-12-10,0.0054500566048922335,0.008015956935467375,0.001362409164842686
2013-12-11,-0.004408762841821075,0.022254243423259573,-0.0010974936772736824
2013-12-12,-0.005339280695838326,-0.0012389786531503495,-0.0013357972236309654
2013-12-13,0.0031199645789031826,0.0027298159231951002,0.0007797455821790442
2013-12-16,0.009531103765616682,0.006972229229252501,0.00238293751474014
2013-12-17,0.004054039850016115,0.0012791715682342,0.001012929477850844
2013-12-18,-0.005827785608590985,-0.0358567451966407,-0.0014503501655253144
2013-12-19,-0.0037154825335561077,0.006084959280860625,-0.0009297484692913845
2013-12-20,0.007780766714842986,-0.0024056268135921747,0.0019452571991766501
2013-12-23,-0.002544249716995929,-0.0126179062388474,-0.0006360894327456181
2013-12-24,-0.006681799118385943,-0.009862692957787876,-0.0016704920555712787
2013-12-26,0.0006894786214521588,-0.0015960006830595252,0.00017551588512887514
2013-12-27,0.0017036875517776678,0.003237007301137025,0.0004258134874301194
2013-12-30,0.011473366752381881,0.020008543102130502,0.002873050756606762
2013-12-31,0.0010710580824421106,0.00322217496898925,0.00026994337591811605
2014-01-02,-0.0012511260682991688,0.0034588867386379247,-0.00031126401379632894
2014-01-03,-0.002516065568306829,-0.009942069709435975,-0.0006295161059500774
2014-01-06,0.00037049477330110633,-0.00387662904200635,9.240840634438732e-05
2014-01-07,0.0016243559402109881,-0.010380948526859774,0.00040612036246411877
2014-01-08,-0.009213536436296896,-0.00393484865441505,-0.002303685914433531
2014-01-09,0.005192681931491641,-0.00106626741043535,0.0012987724527933546
2014-01-10,0.011939750375514615,-0.011403512118906776,0.0029844021541199335
2014-01-13,0.0019146037482097678,0.019394843116970022,0.00047676260854986836
2014-01-14,-0.003887869196909811,-0.017212683354093174,-0.0009715202404872948
2014-01-15,0.0012057663519121898,0.0017441186775854999,0.00030395245099240474
2014-01-16,0.008695945038871293,0.00503854318028075,0.002174283313383658
2014-01-17,-0.0022766278123554167,-0.00234898851981245,-0.0005696472821785923
2014-01-21,0.007377846508282168,0.010047897987476026,0.0018449041148125053
2014-01-22,-0.005533112048612524,0.0005468176659573251,-0.0013828345252617476
2014-01-23,0.008298240680721108,0.015769257057484876,0.002073175221240355
2014-01-24,0.017028065809363196,0.06408300276516275,0.004254639783841443
2014-01-27,-0.01580205213877917,-0.01397325105040165,-0.003950935502294752
2014-01-28,8.099892263263148e-05,-0.021035406232581374,1.9279000843549337e-05
2014-01-29,0.01097811530756057,0.021354917272658824,0.002740375792648608
2014-01-30,0.009187066859510241,0.001083516592110125,0.0022978046451982504
2014-01-31,0.007220641884731973,0.014216686517313651,0.0018045540036218013
2014-02-03,0.007883987626195386,0.03300020400779742,0.001976815112568053
2014-02-04,-0.01379544962859063,-0.0255663763120113,-0.003453156259795798
2014-02-05,-0.004317863249817878,0.0102432797935802,-0.0010801482965165394
2014-02-06,-0.007568169539490276,-0.03274436929849435,-0.00189422554497586
2014-02-07,0.0020301417579386793,-0.0234100059764727,0.0005045719651376408
2014-02-10,0.003835395303119697,-0.00131793356276,0.0009590303158164375
2014-02-11,-0.002473641654172299,-0.0089685530451752,-0.000617362252224682
2014-02-12,-0.005646782088554403,-0.003230229678178875,-0.001411609265747074
2014-02-13,0.010238235099782608,0.0006111672877387748,0.00256083874454296
2014-02-14,-0.0003777170468849491,-0.008210247369527825,-9.44099607442816e-05
2014-02-18,0.006453712658604659,0.009920455658526225,0.0016136296477975503
