Date,FCN,CNN,LSTM
2013-10-14,0.0,0.0,0.0
2013-10-15,0.1378488990906315,0.14129790311423193,0.009686282942459948
2013-10-16,-0.21198173550031302,-0.2196300894888989,-0.012774486965605007
2013-10-17,-0.0825402627633056,-0.07719264777959874,-0.0005680953733154326
2013-10-18,-0.0187234831316678,-0.024451968185268937,0.0036871510999349454
2013-10-21,0.0053949742567583996,0.007682443940623409,-0.0004931318644131881
2013-10-22,0.0209164429172509,0.02206216528999677,0.010323166180471893
2013-10-23,-0.013665004486079898,0.0017376051905024182,-0.006649996178020709
2013-10-24,-0.0126734459595172,-0.013061464305318994,-0.0009908729983763237
2013-10-25,-0.001292090579247701,-0.004390407618497639,0.002086149733888945
2013-10-28,0.020825718636269,0.01696625941897101,0.0057178058033098885
2013-10-29,0.010991234563495399,0.013691297806045064,0.006909581294545096
2013-10-30,0.013097086521361899,0.010011851723350982,-0.0010723190308589816
2013-10-31,-0.004065347928322306,0.004442088475834851,-0.0027043399378714524
2013-11-01,-0.0483889801661497,-0.03588403423151684,-0.013881567262658058
2013-11-04,-0.0254418922674464,-0.021106859496222017,-0.0034994017874725196
2013-11-05,0.017266395893593297,0.020034814473286346,0.0013684458962237274
2013-11-06,-0.041277473952202895,-0.042069247542776494,-0.009888537100124276
2013-11-07,0.07360239178138439,0.08075099097136702,0.01413780425948038
2013-11-08,-0.0628139500063681,-0.06837837819619673,-0.015319447457741362
2013-11-11,-0.024660816441553803,-0.02901120766959446,-0.007161799388575642
2013-11-12,0.0142511346666195,0.020982568731327266,0.0032449686366432823
2013-11-13,-0.008237743492210698,-0.012598569787142966,0.0037934689130742147
2013-11-14,0.0001087444292141998,-0.004233070395328468,0.004512947286249307
2013-11-15,-0.0115574584342246,-0.009980867663784154,-0.0008513394062358527
2013-11-18,0.0625015054556375,0.0692301940456799,0.018446963300057156
2013-11-19,0.014698865858131502,0.016288861085544865,0.0015710860454474238
2013-11-20,-0.0043908982825633,-0.005186203048948311,-0.004870600581434447
2013-11-21,-0.0342019139693647,-0.04684037256731507,-0.004549259900641967
2013-11-22,-0.022651876601775003,-0.025786616666371567,-0.002899018559453806
2013-11-25,0.0408259946742241,0.0420002802760215,0.012185461208984345
2013-11-26,0.002411327978776,0.002803217330153005,0.0014332123195260047
2013-11-27,0.0165250761689716,0.016525073096515127,0.007043412079509655
2013-11-29,0.0525827596525756,0.05297464772402395,0.015427310868932433
2013-12-02,0.030844297142955904,0.03202097213365838,0.005789508320291164
2013-12-03,0.0254735104161722,0.019603892581922924,0.005448819558268519
2013-12-04,0.0081894874901098,0.006240507551953308,-0.00034571266417895465
2013-12-05,0.0192929317218434,0.020461810376760328,0.0017460614618038106
2013-12-06,-0.0739527551582554,-0.07745537152156742,-0.010638198313884392
