Date,ONE_OVER_N,MAX_SHARPE,MIN_VAR,RISK_PARITY
2007-11-20,0.0,0.0,0.0,0.0
2007-11-21,-0.014012028403458415,-0.02400530838246792,-0.01766756209071581,-0.020453960063222885
2007-11-23,0.015326251796208277,0.025860573602670273,0.007978781877990048,0.014732670579354144
2007-11-26,-0.02238664379656036,-0.032410874199655985,-0.015399250508313103,-0.02445123050515843
2007-11-27,0.0140284244850983,-0.01735690234330979,-0.016055801589890867,-0.014157286459065874
2007-11-28,0.03131331304819683,0.012655151943298082,0.011937995707174832,0.011070578331212774
2007-11-29,-0.0013699817436050746,0.003270122512621069,0.0037293246939302627,0.007995984911351905
2007-11-30,0.008017632718655437,-0.00904842312647989,0.0021490056193678654,0.006457289993820016
2007-12-03,-0.0034567358684600927,0.0005947756857936047,0.0063000538767660815,0.005787711973571808
2007-12-04,-0.006580926877598617,-0.010509765888637532,-0.0026171476334823224,-0.007143876872401483
2007-12-05,0.016011030139872054,0.02308150141120538,0.00711453491610849,0.017958163622153914
2007-12-06,0.017601052291919102,0.022869202405959722,0.017465220364446078,0.025166316196429207
2007-12-07,-0.00092656120491805,-0.004662647693456439,-0.005294135509789132,-0.0028835497643878555
2007-12-10,0.009848680387518748,0.011602271837634015,0.0006390712308694752,0.006403421011834761
2007-12-11,-0.03019267426044054,-0.02081698160348081,-0.01396405040412343,-0.018799809352067133
2007-12-12,0.0030272239926278266,0.044119211415541086,0.02058400164925411,0.024814865910706224
2007-12-13,-0.000997389082891609,0.0108930701514248,0.005291823985703643,0.0035083258446517935
2007-12-14,-0.015655162453432105,-0.018065643825417907,-0.020772021413798577,-0.015883396881365898
2007-12-17,-0.01605639656778545,-0.034921356045700194,-0.012912025165609149,-0.017525349243808972
2007-12-18,0.006717204165485643,0.01938635280727925,0.0015828067614967873,0.011593935683315456
2007-12-19,0.0001809319213050231,0.011677480874356907,-0.0007325217514866575,0.004206612595933102
2007-12-20,0.007484225113682277,0.013606710021499933,0.007148735356263009,0.007731399895127644
2007-12-21,0.01622583708804742,0.033416527201374925,0.014101182144682731,0.023024029571747935
2007-12-24,0.010234889234329353,0.0038556513060012004,0.005774358492963813,0.006157521211278016
2007-12-26,-0.0008792286426491894,0.0019470215088371575,0.00037018187882609287,0.0066239208356678875
2007-12-27,-0.015428031787562404,-0.004214099750326117,-0.0036787783939941825,-0.006621093777584036
2007-12-28,-0.00022018536222777495,0.010819102871472749,0.006390312183052797,0.008969050037857315
2007-12-31,-0.004767632836128662,-0.010536773564087821,-0.009882833513412554,-0.01215431417023967
2008-01-02,-0.016160482096542035,0.022592812006221003,0.00899046524631126,0.009018189617619824
2008-01-03,-0.00709683377211333,0.011373410493031092,0.0030529872470598587,0.006219649452734704
2008-01-04,-0.0291687881799594,-0.03129517674046278,-0.026645942188766616,-0.0281214399166184
2008-01-07,0.0017644024454406013,-0.016925808206745475,-0.008552551757226644,-0.009674376882552883
2008-01-08,-0.0197079699887959,-0.024331264703877253,-0.011904711644412853,-0.012874519723166252
2008-01-09,0.009819119739280846,0.03435789727864954,0.03614532160541748,0.02175563283804038
2008-01-10,0.010634802899967216,-0.023856470845348615,0.0015145379320502452,-0.00584940009087819
2008-01-11,-0.013742813243153249,-0.008190062768426218,-0.01396898830038312,-0.011308563504937103
2008-01-14,0.009705207322862938,0.03461504722981704,0.02161841491259411,0.017995278341950534
2008-01-15,-0.024361232245223536,-0.03993379239348753,-0.02614510174595848,-0.0370853471587713
2008-01-16,0.0005801761883989434,-0.0410497177965779,-0.01657275941283542,-0.028447060249481883
2008-01-17,-0.027078970358784295,-0.04039504690916835,-0.037266232734668926,-0.0436712457675823
2008-01-18,-0.004826401965630369,0.005812481130546652,-0.0036287038060870596,0.0022217460448781586
2008-01-22,-0.00560770693794935,-0.036527389321602176,-0.018786728686420975,-0.02433319199744295
2008-01-23,0.026283964715249363,-0.013158595613258744,-0.006178175848534836,-0.0008468161909496112
2008-01-24,0.010012289400135162,0.017708759741502877,0.019067288658689032,0.028135154856549438
2008-01-25,-0.012893307736975567,-0.0076575388853013645,-0.004910144486351254,-0.01033744116059808
2008-01-28,0.01823939271137294,0.009528081577036728,0.010523088706423208,0.015269336278924843
2008-01-29,0.00763356877436189,0.018801979819551243,0.01838429588250838,0.012975228750153668
2008-01-30,-0.010139731359120338,0.005137161776355721,-0.002634747115678004,-0.005414204901740876
2008-01-31,0.015996061059550308,0.001679692433712905,0.014471870037234214,0.0020942524798319016
2008-02-01,0.01985212711383379,0.02791641965310524,0.016132675338593055,0.014422235072729658
2008-02-04,-0.010169420245334406,0.00027209727015469734,0.018565471307037132,0.008854853692967533
2008-02-05,-0.02996010988541207,-0.03483088520152107,-0.031223261878833886,-0.033882823342205826
2008-02-06,-0.00995670048383693,-0.012255477135459247,-0.013474108148949945,-0.015110296046036992
