,0
IBM,33.24130939160615
AKAM,27.024379688863686
ORCL,19.62658577192991
NVDA,7.406296749709367
ADBE,4.079603679984824
CRM,3.1671848180959055
INTC,2.3184059334610785
INTU,1.7329362664251198
MSFT,1.403297699923961
