Date,MAX_SHARPE,SPY
2007-11-20,0.0,0.0
2007-11-27,-0.047912511322763425,-0.014414723307493396
2007-12-03,-0.04044088430753055,0.0207995391831481
2007-12-07,-0.009662594072459419,0.0424354566522566
2007-12-13,0.03613497772865967,0.0301007784739421
2007-12-19,0.014211811539177728,0.008535767591928898
2007-12-26,0.06703772157689095,0.03867598409294609
2008-01-02,0.08569876314017076,0.007295682985016995
2008-01-08,0.02451992398211634,-0.0351288818444758
2008-01-14,0.06144633487680809,-0.0182112882984358
2008-01-18,-0.05411974109187904,-0.08569867867079559
2008-01-25,-0.09375450517053845,-0.078305283314698
2008-01-31,-0.058607589563881846,-0.04627707041662079
2008-02-06,-0.07750543497760222,-0.07822986023614209
2008-02-12,0.0041176220184363545,-0.06375412922218879
2008-02-19,0.06032111836351724,-0.05983541667807579
2008-02-25,0.0955082829196312,-0.046568024955764495
2008-02-29,0.10783956457177013,-0.0724593424660283
2008-03-06,0.10592633658558732,-0.09329978882464109
2008-03-12,0.12058193910683752,-0.09101310714536098
2008-03-18,0.11243800636119425,-0.07388021536156998
2008-03-25,0.07202928472757536,-0.059853450651024286
2008-03-31,0.12227592289134115,-0.08144189099090098
2008-04-04,0.16841470431700184,-0.044838621478440276
2008-04-10,0.2155608971421761,-0.05121454409036507
2008-04-16,0.26600743348587763,-0.04513088961070676
2008-04-22,0.2829467609802184,-0.037197909731238356
2008-04-28,0.263786899651633,-0.025020370630767258
2008-05-02,0.21241341843337747,-0.011646232581754354
2008-05-08,0.2749237047227956,-0.028392430054742852
2008-05-14,0.2637448414696206,-0.016889554055988455
2008-05-20,0.3521008720248216,-0.008964397454887356
2008-05-27,0.367029779305815,-0.031991615203882155
2008-06-02,0.3774725149478375,-0.03026206612123246
2008-06-06,0.39395004993334604,-0.04923148683597126
2008-06-12,0.39522606281026834,-0.06282393857416566
2008-06-18,0.39517640510127955,-0.06431292019174326
2008-06-24,0.39080343964774333,-0.08238050416149777
2008-06-30,0.3521246807087759,-0.10715297859262728
2008-07-07,0.3632243495663184,-0.13055324840504737
2008-07-11,0.36932893662410254,-0.14003673512182227
2008-07-17,0.4266284077894734,-0.12911452853620528
2008-07-23,0.43442064540101677,-0.10566974950602238
2008-07-29,0.4113111499146367,-0.12052532722199061
2008-08-04,0.4189017293216765,-0.1307933321262727
2008-08-08,0.461495492154821,-0.0963506988050957
2008-08-14,0.4460431774883339,-0.09503733341856789
2008-08-20,0.4039751151647421,-0.11028356251764748
2008-08-26,0.4098800325331384,-0.11177405831096017
2008-09-02,0.43839291766264,-0.10707518790889207
2008-09-08,0.4473306934581969,-0.11491876150880398
2008-09-12,0.41488011519895784,-0.12203125963839868
2008-09-18,0.3826813559520439,-0.17095204127898458
2008-09-24,0.3373627381704993,-0.1747207014901592
2008-09-30,0.33936056446959356,-0.19975144538063577
2008-10-06,0.21730300719252788,-0.30196539040043574
2008-10-10,0.1264011897605731,-0.4702530005117538
2008-10-16,0.14836902718860906,-0.41241051728140043
2008-10-22,0.10922832486265324,-0.4463595493628709
2008-10-28,0.14962994953828376,-0.4125173916693594
2008-11-03,0.12119412661777196,-0.37741118741440544
2008-11-07,0.10074007025843826,-0.41145144230115827
2008-11-13,0.07563451429596654,-0.440529655677989
2008-11-19,-0.07810559734921146,-0.5526527474664622
2008-11-25,0.04944467927648874,-0.5028694801281184
2008-12-02,0.017791908246676345,-0.5074331334088379
2008-12-08,0.15818642430235647,-0.44239617322494895
2008-12-12,0.10401091733066538,-0.4647315136686017
2008-12-18,0.0824878891116985,-0.4613662437598355
2008-12-24,-0.01345197431250169,-0.4831776290936417
2008-12-31,0.028362399520415305,-0.4426979052395758
2009-01-07,-0.0637434648091385,-0.43794387270778407
2009-01-13,-0.06708607247615711,-0.4779989753135966
2009-01-20,-0.07595384568327651,-0.5560440899869912
2009-01-26,-0.005692025638499909,-0.5181705264039901
2009-01-30,-0.0412434224148335,-0.5283801971999667
2009-02-05,0.010213007776032998,-0.5075908377881813
2009-02-11,-0.065869142978368,-0.5191269867397049
2009-02-18,-0.08458995464135619,-0.5753428161646307
2009-02-24,-0.10905050578949158,-0.5951501995622384
2009-03-02,-0.1685644955460657,-0.6881403986535574
2009-03-06,-0.1719396102338027,-0.7122242854920081
2009-03-12,-0.05739205454946979,-0.6210379289192859
2009-03-18,0.0034276807475128145,-0.5640192329616234
2009-03-24,0.03305564843743092,-0.5485398094807756
2009-03-30,0.03084957106915992,-0.5712526632658586
2009-04-03,0.11320374359316691,-0.5041315421078452
2009-04-09,0.1555094898194878,-0.48590323257858886
2009-04-16,0.14399090742603732,-0.4778940386469562
2009-04-22,0.19516074014757143,-0.5008130833632329
2009-04-28,0.12155736356466734,-0.4887038684477797
2009-05-04,0.10963883511141925,-0.42849854788356306
2009-05-08,0.06102708973589126,-0.40565381168903275
2009-05-14,0.009649587926701658,-0.44447035905528876
2009-05-20,0.06583634232584515,-0.4325781584783952
2009-05-27,0.08777591415016503,-0.44190259568671564
2009-06-02,0.11698049658308074,-0.38574175522475335
2009-06-08,0.05497832319244032,-0.3930427560542374
2009-06-12,0.0667382161968845,-0.38331974509705474
2009-06-18,0.03060404553798792,-0.4138616351729615
2009-06-24,0.05820040078466082,-0.4312638165437029
2009-06-30,0.09086251394600144,-0.4111607285087914
2009-07-07,0.03117538613734984,-0.4543872530665081
2009-07-13,0.06867747341034541,-0.431485302241635
2009-07-17,0.12878477494433457,-0.38772873666160956
2009-07-23,0.19469590487662636,-0.35091365687099124
2009-07-29,0.1649900840930864,-0.3510157923981772
