,Order ID,Order Date,Origin Port,Carrier,TPT,Service Level,Ship ahead day count,Ship Late Day count,Customer,Product ID,Plant Code,Destination Port,Unit quantity,Weight
6057,1447346504.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1668545,PLANT03,PORT09,957,5.5
6058,1447163435.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1668547,PLANT03,PORT09,2251,15.24
6059,1447266850.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1668545,PLANT03,PORT09,1137,6.46
6060,1447370719.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1668547,PLANT03,PORT09,10272,69.46
6061,1447293701.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1668555,PLANT03,PORT09,1166,5.139583333333333
6062,1447266849.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1668555,PLANT03,PORT09,1138,5.139583333333333
6063,1447156555.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1668555,PLANT03,PORT09,1167,5.139583333333333
6064,1447288749.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1685212,PLANT03,PORT09,484,4.618000586338317
6065,1447355139.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1685212,PLANT03,PORT09,442,4.618000586338317
6066,1447267029.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1685212,PLANT03,PORT09,451,3.4635004397537377
6067,1447367167.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1685212,PLANT03,PORT09,443,3.5096804456171204
6068,1447395241.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1685212,PLANT03,PORT09,419,4.271650542362943
6069,1447198605.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1685212,PLANT03,PORT09,383,1.1545001465845792
6070,1447291624.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1685212,PLANT03,PORT09,487,3.7405804749340366
6071,1447164258.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1685212,PLANT03,PORT09,429,2.3090002931691584
6072,1447331202.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1685212,PLANT03,PORT09,495,5.44
6073,1447225700.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1685211,PLANT03,PORT09,322,1.223201024327785
6074,1447164256.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1685211,PLANT03,PORT09,408,2.1459667093469914
6075,1447164257.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1685211,PLANT03,PORT09,471,3.283329065300897
6076,1447377270.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1685211,PLANT03,PORT09,294,0.6652496798975673
6077,1447331201.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1685211,PLANT03,PORT09,391,2.5537003841229198
6078,1447165547.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1685211,PLANT03,PORT09,315,1.244660691421255
6079,1447164255.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1685211,PLANT03,PORT09,533,5.429295774647889
6080,1447250442.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1685211,PLANT03,PORT09,521,5.386376440460948
6081,1447214534.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1685211,PLANT03,PORT09,459,3.712522407170295
6082,1447251210.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1685212,PLANT03,PORT09,637,7.5
6083,1447163434.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1683197,PLANT03,PORT09,879,13.979999999999999
6084,1447326664.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1685212,PLANT03,PORT09,730,8.52
6085,1447377699.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1685212,PLANT03,PORT09,833,9.82
6086,1447220698.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1683197,PLANT03,PORT09,1289,18.52
6087,1447267011.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1683197,PLANT03,PORT09,1281,18.5
6088,1447267012.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1683197,PLANT03,PORT09,1239,20.48
6089,1447260487.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1683199,PLANT03,PORT09,301,0.019133742358015956
6090,1447250445.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1683199,PLANT03,PORT09,302,0.5931460130984947
6091,1447165546.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1683199,PLANT03,PORT09,315,1.4350306768511967
6092,1447267028.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1685211,PLANT03,PORT09,846,11.22
6093,1447382152.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1696488,PLANT03,PORT09,352,1.0186170212765957
6094,1447355230.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1662317,PLANT03,PORT09,326,1.3260431654676261
6095,1447325628.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1662238,PLANT03,PORT09,310,0.7306666666666666
6096,1447346575.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1662274,PLANT03,PORT09,319,1.661261261261261
6097,1447208879.7,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1662274,PLANT03,PORT09,289,0.3322522522522522
