,Plant Code,Product ID
0,PLANT15,1698815
1,PLANT17,1664419
2,PLANT17,1664426
3,PLANT17,1672826
4,PLANT17,1674916
5,PLANT17,1674918
6,PLANT17,1675507
7,PLANT17,1676151
8,PLANT17,1676152
9,PLANT17,1677864
10,PLANT17,1677865
11,PLANT17,1679124
12,PLANT17,1685369
13,PLANT17,1685370
14,PLANT17,1685378
15,PLANT17,1685979
16,PLANT17,1691969
17,PLANT17,1694139
18,PLANT17,1694217
19,PLANT17,1696107
20,PLANT17,1697052
21,PLANT18,1660883
22,PLANT18,1664500
23,PLANT18,1666994
24,PLANT18,1668792
25,PLANT18,1669083
26,PLANT18,1669095
27,PLANT18,1669740
28,PLANT18,1669741
29,PLANT18,1671769
30,PLANT18,1673352
31,PLANT18,1674718
32,PLANT18,1699520
33,PLANT05,1650942
34,PLANT05,1650946
35,PLANT05,1656871
36,PLANT05,1656873
37,PLANT05,1656879
38,PLANT05,1656889
39,PLANT05,1660742
40,PLANT05,1660748
41,PLANT05,1661315
42,PLANT05,1661316
43,PLANT05,1661317
44,PLANT05,1661318
45,PLANT05,1661319
46,PLANT05,1661320
47,PLANT05,1661321
48,PLANT05,1662989
49,PLANT05,1662990
50,PLANT05,1662991
51,PLANT05,1664340
52,PLANT05,1664343
53,PLANT05,1664344
54,PLANT05,1664345
55,PLANT05,1664346
56,PLANT05,1664347
57,PLANT05,1665087
58,PLANT05,1666750
59,PLANT05,1666761
60,PLANT05,1667071
61,PLANT05,1667125
62,PLANT05,1667126
63,PLANT05,1667143
64,PLANT05,1667163
65,PLANT05,1667164
66,PLANT05,1667679
67,PLANT05,1668409
68,PLANT05,1668412
69,PLANT05,1668419
70,PLANT05,1668421
71,PLANT05,1668426
72,PLANT05,1671354
73,PLANT05,1672344
74,PLANT05,1672564
75,PLANT05,1672565
76,PLANT05,1672621
77,PLANT05,1673058
78,PLANT05,1673059
79,PLANT05,1674111
80,PLANT05,1674114
81,PLANT05,1675500
82,PLANT05,1675601
83,PLANT05,1675746
84,PLANT05,1675747
85,PLANT05,1675748
86,PLANT05,1677568
87,PLANT05,1677578
88,PLANT05,1677581
89,PLANT05,1681721
90,PLANT05,1681759
91,PLANT05,1681775
92,PLANT05,1681778
93,PLANT05,1681883
94,PLANT05,1681951
95,PLANT05,1681952
96,PLANT05,1681953
97,PLANT05,1681954
98,PLANT05,1681955
99,PLANT05,1681956
100,PLANT05,1681957
101,PLANT05,1682366
102,PLANT05,1683286
103,PLANT05,1683293
104,PLANT05,1683294
105,PLANT05,1683354
106,PLANT05,1683356
107,PLANT05,1683357
108,PLANT05,1683359
109,PLANT05,1683361
110,PLANT05,1683365
111,PLANT05,1683523
112,PLANT05,1683525
113,PLANT05,1683527
114,PLANT05,1683528
115,PLANT05,1683531
116,PLANT05,1683802
117,PLANT05,1683808
118,PLANT05,1684659
119,PLANT05,1684668
120,PLANT05,1684669
121,PLANT05,1684717
122,PLANT05,1685593
123,PLANT05,1685595
124,PLANT05,1685599
125,PLANT05,1689498
126,PLANT05,1689502
127,PLANT05,1692056
128,PLANT05,1692105
129,PLANT05,1692106
130,PLANT05,1692107
131,PLANT05,1692108
132,PLANT05,1692109
133,PLANT05,1692113
134,PLANT05,1692114
135,PLANT05,1692115
136,PLANT05,1692277
137,PLANT05,1692401
138,PLANT05,1693453
139,PLANT05,1696113
140,PLANT05,1696114
141,PLANT05,1696256
142,PLANT05,1696261
143,PLANT05,1696262
144,PLANT05,1696263
145,PLANT05,1696774
146,PLANT05,1696820
147,PLANT05,1696822
148,PLANT05,1697080
149,PLANT05,1697081
150,PLANT05,1697082
151,PLANT05,1697083
152,PLANT05,1697084
153,PLANT05,1697085
154,PLANT05,1697086
155,PLANT05,1697087
156,PLANT05,1697102
157,PLANT05,1697113
158,PLANT05,1697114
159,PLANT05,1697115
160,PLANT02,1656889
161,PLANT02,1660153
162,PLANT02,1660530
163,PLANT02,1660585
164,PLANT02,1660668
165,PLANT02,1680674
166,PLANT02,1680682
167,PLANT02,1680684
168,PLANT02,1680697
169,PLANT02,1680742
170,PLANT02,1682646
