Date,AGG,DBC,^GSPC,^VIX
2019-01-02,94.93199157714844,14.215082168579102,2510.030029296875,23.219999313354492
2019-01-03,95.32400512695312,14.332480430603027,2447.889892578125,25.450000762939453
2019-01-04,95.0389404296875,14.528146743774414,2531.93994140625,21.3799991607666
2019-01-07,94.87858581542969,14.635762214660645,2549.68994140625,21.399999618530273
2019-01-08,94.80731964111328,14.782510757446289,2574.409912109375,20.469999313354492
2019-01-09,94.88749694824219,15.076008796691895,2584.9599609375,19.979999542236328
2019-01-10,94.78059387207031,15.03687572479248,2596.639892578125,19.5
2019-01-11,94.91422271728516,14.987958908081055,2596.260009765625,18.190000534057617
2019-01-14,94.78059387207031,14.860776901245117,2582.610107421875,19.06999969482422
2019-01-15,94.79840087890625,14.97817611694336,2610.300048828125,18.600000381469727
2019-01-16,94.87858581542969,15.056443214416504,2616.10009765625,19.040000915527344
2019-01-17,94.80731964111328,15.0662260055542,2635.9599609375,18.059999465942383
2019-01-18,94.73604583740234,15.222758293151855,2670.7099609375,17.799999237060547
2019-01-22,94.81623077392578,15.115141868591309,2632.89990234375,20.799999237060547
2019-01-23,94.91422271728516,15.095576286315918,2638.699951171875,19.520000457763672
2019-01-24,95.07454681396484,15.134708404541016,2642.330078125,18.889999389648438
2019-01-25,95.02999877929688,15.21297550201416,2664.760009765625,17.420000076293945
2019-01-28,94.97657012939453,15.007526397705078,2643.85009765625,18.8700008392334
2019-01-29,95.22600555419922,15.154274940490723,2640.0,19.1299991607666
2019-01-30,95.43975830078125,15.26189136505127,2681.050048828125,17.65999984741211
2019-01-31,95.7248306274414,15.183626174926758,2704.10009765625,16.56999969482422
2019-02-01,95.52656555175781,15.32059097290039,2706.530029296875,16.139999389648438
2019-02-04,95.44622802734375,15.330374717712402,2724.8701171875,15.729999542236328
2019-02-05,95.65160369873047,15.26189136505127,2737.699951171875,15.569999694824219
2019-02-06,95.5980453491211,15.28145694732666,2731.610107421875,15.380000114440918
2019-02-07,95.64269256591797,15.134708404541016,2706.050048828125,16.3700008392334
2019-02-08,95.85697937011719,15.154274940490723,2707.8798828125,15.720000267028809
2019-02-11,95.75879669189453,15.0662260055542,2709.800048828125,15.970000267028809
2019-02-12,95.77660369873047,15.154274940490723,2744.72998046875,15.430000305175781
2019-02-13,95.60692596435547,15.242324829101562,2753.030029296875,15.649999618530273
2019-02-14,95.74983215332031,15.28145694732666,2745.72998046875,16.219999313354492
2019-02-15,95.82128143310547,15.56517219543457,2775.60009765625,14.90999984741211
2019-02-19,95.87484741210938,15.604305267333984,2779.760009765625,14.880000114440918
2019-02-20,95.8837890625,15.65322208404541,2784.699951171875,14.020000457763672
2019-02-21,95.66944885253906,15.702136993408203,2774.8798828125,14.460000038146973
2019-02-22,95.91057586669922,15.741271018981934,2792.669921875,13.510000228881836
2019-02-25,95.8837890625,15.506473541259766,2796.110107421875,14.850000381469727
2019-02-26,95.99095916748047,15.574955940246582,2793.89990234375,15.170000076293945
2019-02-27,95.78556060791016,15.65322208404541,2792.3798828125,14.699999809265137
2019-02-28,95.61588287353516,15.61408805847168,2784.489990234375,14.779999732971191
2019-03-01,95.46100616455078,15.437989234924316,2803.68994140625,13.569999694824219
2019-03-04,95.57737731933594,15.486907005310059,2792.81005859375,14.630000114440918
2019-03-05,95.64006042480469,15.56517219543457,2789.64990234375,14.739999771118164
2019-03-06,95.7833251953125,15.47712230682373,2771.449951171875,15.739999771118164
2019-03-07,96.0518798828125,15.437989234924316,2748.929931640625,16.59000015258789
2019-03-08,96.17720031738281,15.428206443786621,2743.070068359375,16.049999237060547
2019-03-11,96.1861801147461,15.447772979736328,2783.300048828125,14.329999923706055
2019-03-12,96.36521911621094,15.54560661315918,2791.52001953125,13.770000457763672
2019-03-13,96.32046508789062,15.643437385559082,2810.919921875,13.40999984741211
2019-03-14,96.17720031738281,15.574955940246582,2808.47998046875,13.5
2019-03-15,96.41895294189453,15.574955940246582,2822.47998046875,12.880000114440918
2019-03-18,96.40103912353516,15.65322208404541,2832.93994140625,13.100000381469727
2019-03-19,96.34732818603516,15.69235610961914,2832.570068359375,13.5600004196167
2019-03-20,96.74124908447266,15.809754371643066,2824.22998046875,13.90999984741211
2019-03-21,96.75914001464844,15.731487274169922,2854.8798828125,13.630000114440918
2019-03-22,97.24256896972656,15.594521522521973,2800.7099609375,16.479999542236328
2019-03-25,97.42161560058594,15.65322208404541,2798.360107421875,16.329999923706055
2019-03-26,97.43951416015625,15.682572364807129,2818.4599609375,14.680000305175781
2019-03-27,97.64540100097656,15.594521522521973,2805.3701171875,15.149999618530273
2019-03-28,97.6543960571289,15.54560661315918,2815.43994140625,14.430000305175781
2019-03-29,97.64540100097656,15.555388450622559,2834.39990234375,13.710000038146973
2019-04-01,97.198486328125,15.702136993408203,2867.18994140625,13.399999618530273
